ifLeader,employeeId,taskId
False,734,868
False,183,635
False,522,942
True,305,731
False,779,492
True,967,245
False,182,919
False,538,501
True,79,761
True,234,179
True,243,724
True,276,110
True,897,223
True,801,425
False,614,376
False,940,755
True,113,896
True,753,731
False,573,55
False,534,836
True,371,658
True,596,668
True,912,873
False,671,457
True,308,441
True,368,773
False,282,359
False,529,314
False,535,92
False,656,626
False,105,107
True,254,309
True,233,885
True,257,313
False,309,349
True,871,473
False,671,413
False,988,256
True,600,771
True,375,569
True,441,836
True,827,52
True,843,723
True,971,395
False,410,209
True,870,68
False,825,558
True,517,893
False,68,949
False,362,26
True,765,419
True,59,921
False,33,803
False,102,215
False,596,343
False,508,89
False,639,865
False,342,277
True,628,641
True,802,98
False,115,441
False,533,856
False,890,441
False,650,712
False,778,892
False,115,944
True,163,823
False,282,988
False,93,591
False,688,11
False,642,788
False,568,239
True,121,44
True,861,290
False,531,156
False,370,491
True,634,376
False,780,518
True,862,516
False,31,27
True,749,308
False,770,97
True,59,860
True,231,698
True,322,493
False,880,455
False,257,796
False,451,502
True,508,675
False,722,20
True,188,785
True,834,949
False,498,683
False,878,876
True,414,623
False,719,272
True,378,328
False,458,180
False,512,714
True,480,887
True,852,237
True,309,663
False,387,217
False,694,673
True,327,612
False,427,924
False,349,157
True,837,617
True,820,126
True,409,651
False,189,31
True,708,949
True,522,895
False,145,205
True,91,195
False,409,118
False,498,447
False,43,794
False,875,22
True,297,849
False,32,156
True,618,646
True,69,197
False,621,523
True,959,570
False,370,653
True,481,35
True,678,531
False,641,365
True,33,164
True,449,677
False,650,942
True,309,636
False,216,216
True,733,526
False,59,401
False,690,538
False,683,754
False,939,581
False,100,32
True,726,27
False,581,533
False,385,599
True,46,828
True,895,856
True,174,402
False,5,528
True,421,208
True,618,94
False,244,575
True,350,304
True,590,105
True,178,898
False,845,43
True,375,669
False,218,978
True,636,325
False,493,289
True,234,879
True,729,513
False,603,655
True,406,521
False,744,525
True,412,761
False,917,512
False,634,415
True,389,960
False,548,634
False,986,489
True,959,218
False,384,239
False,63,202
True,617,323
True,843,729
False,830,204
True,904,931
False,92,414
False,540,77
False,837,997
True,194,4
True,303,380
True,845,865
True,530,637
False,874,813
False,949,133
False,657,457
False,309,399
False,505,753
False,717,128
True,295,655
True,286,979
False,27,493
True,629,89
True,519,847
True,122,747
False,666,169
True,24,264
False,717,741
False,120,156
True,658,526
True,73,95
False,829,100
False,339,294
True,287,294
False,281,27
True,580,301
True,845,165
False,131,348
False,527,642
False,832,420
False,300,920
False,390,372
False,43,562
True,562,3
True,192,425
False,151,609
True,496,783
True,707,504
True,279,323
True,417,489
False,588,624
True,904,299
True,87,742
True,426,619
True,507,103
True,985,30
False,174,106
True,918,46
False,15,933
False,203,301
False,988,845
True,103,853
False,624,701
True,786,49
True,930,853
False,287,162
False,796,976
False,435,353
False,337,874
True,444,157
False,182,699
False,448,323
False,849,518
True,427,31
False,154,551
True,807,591
False,189,119
False,296,145
False,129,755
False,346,824
True,327,787
False,41,287
False,678,161
False,770,965
False,558,887
True,127,135
False,205,774
False,518,882
True,445,279
True,383,24
True,860,2
False,577,879
True,689,951
False,503,106
False,473,257
True,375,711
True,754,696
True,789,475
False,643,810
False,897,827
False,534,315
True,222,613
False,588,931
False,279,149
True,943,594
True,318,31
True,486,65
False,684,307
False,394,676
False,443,718
False,51,297
True,657,438
False,517,588
True,363,201
False,76,809
True,733,197
True,296,728
True,393,240
True,777,234
False,38,59
True,262,815
True,9,226
True,916,634
True,811,95
True,177,387
False,263,938
False,245,809
True,460,431
True,790,890
True,477,453
True,832,727
False,408,451
True,662,150
True,293,938
True,922,505
True,181,598
False,912,329
False,822,626
True,154,197
True,787,387
False,556,612
True,820,619
False,832,175
True,400,783
True,948,993
True,728,847
True,520,42
True,641,938
False,7,766
True,8,492
True,192,851
